DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/01,6 Economic,,Local,WIND,4,51
12/01,9 Economic,,Local,SOLR,101,222
12/01,9 Economic,,System,WIND,0,0
12/01,10 Economic,,Local,SOLR,267,352
12/01,10 Economic,,System,SOLR,0,
12/01,11 Economic,,Local,SOLR,302,354
12/01,11 Economic,,Local,WIND,0,
12/01,11 Economic,,System,SOLR,0,
12/01,11 Economic,,System,WIND,4,
12/01,12 Economic,,Local,SOLR,241,319
12/01,12 Economic,,Local,WIND,0,0
12/01,12 Economic,,System,SOLR,4,16
12/01,12 Economic,,System,WIND,3,5
12/01,13 Economic,,Local,SOLR,236,277
12/01,13 Economic,,Local,WIND,0,0
12/01,13 Economic,,System,SOLR,2,5
12/01,13 Economic,,System,WIND,4,10
12/01,14 Economic,,Local,SOLR,243,273
12/01,14 Economic,,Local,WIND,0,0
12/01,14 Economic,,System,SOLR,2,7
12/01,14 Economic,,System,WIND,2,1
12/01,15 Economic,,Local,SOLR,213,278
12/01,15 Economic,,System,SOLR,0,
12/01,16 Economic,,Local,SOLR,70,188
12/01,16 Economic,,System,SOLR,1,
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/02,7,Economic,Local,WIND,3,20
12/02,8,Economic,Local,SOLR,15,88
12/02,8,Economic,Local,WIND,2,5
12/02,9,Economic,Local,SOLR,163,258
12/02,9,Economic,Local,WIND,1,
12/02,9,Economic,System,SOLR,0,1
12/02,10,Economic,Local,SOLR,177,201
12/02,10,Economic,Local,WIND,1,5
12/02,10,Economic,System,SOLR,0,3
12/02,10,Economic,System,WIND,1,15
12/02,11,Economic,Local,SOLR,241,329
12/02,12,Economic,Local,SOLR,183,278
12/02,12,Economic,Local,WIND,9,32
12/02,12,Economic,System,SOLR,1,4
12/02,12,Economic,System,WIND,33,89
12/02,13,Economic,Local,SOLR,290,325
12/02,13,Economic,Local,WIND,69,26
12/02,13,Economic,System,SOLR,6,28
12/02,13,Economic,System,WIND,34,89
12/02,14,Economic,Local,SOLR,194,273
12/02,14,Economic,Local,WIND,15,24
12/02,14,Economic,System,SOLR,1,
12/02,14,Economic,System,WIND,2,
12/02,15,Economic,Local,SOLR,122,
12/02,15,Economic,Local,WIND,6,
12/02,15,Economic,System,SOLR,215,938
12/02,15,Economic,System,WIND,66,251
