DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/17,3,Economic,System,WIND,3,23
12/17,9,Economic,Local,SOLR,44,154
12/17,10,Economic,Local,SOLR,114,
12/17,10,Economic,Local,WIND,2,
12/17,10,Economic,System,SOLR,83,528
12/17,10,Economic,System,WIND,18,59
12/17,11,Economic,Local,SOLR,34,
12/17,11,Economic,Local,WIND,1,
12/17,11,Economic,System,SOLR,329,514
12/17,11,Economic,System,WIND,32,60
12/17,12,Economic,Local,SOLR,129,
12/17,12,Economic,Local,WIND,2,
12/17,12,Economic,System,SOLR,36,381
12/17,12,Economic,System,WIND,10,31
12/17,13,Economic,Local,SOLR,122,363
12/17,13,Economic,Local,WIND,6,2
12/17,13,Economic,System,SOLR,0,2
12/17,14,Economic,Local,SOLR,264,
12/17,14,Economic,Local,WIND,4,
12/17,14,Economic,System,SOLR,198,697
12/17,14,Economic,System,WIND,2,5
12/17,15,Economic,Local,SOLR,36,
12/17,15,Economic,Local,WIND,0,
12/17,15,Economic,System,SOLR,541,877
12/17,15,Economic,System,WIND,7,10
12/17,16,Economic,Local,WIND,3,
12/17,16,Economic,System,SOLR,205,702
12/17,16,Economic,System,WIND,25,108
12/17,17,Economic,Local,WIND,0,2
