DATE,"HOUR",CURT TYPE,REASON,FUEL TYPE,"CURTAILEDMWH","CURTAILEDMW"
01/21,9,Economic,System,SOLR,165,568
01/21,9,Economic,System,WIND,47,113
01/21,10,Economic,Local,SOLR,458,900
01/21,10,Economic,Local,WIND,153,335
01/21,10,Economic,System,SOLR,142,
01/21,10,Economic,System,WIND,42,
01/21,10,SelfSchCut,Local,SOLR,129,572
01/21,10,SelfSchCut,Local,WIND,9,34
01/21,11,Economic,Local,SOLR,763,859
01/21,11,Economic,Local,WIND,296,270
01/21,11,SelfSchCut,Local,SOLR,480,587
01/21,11,SelfSchCut,Local,WIND,163,360
01/21,12,Economic,Local,SOLR,742,697
01/21,12,Economic,Local,WIND,299,294
01/21,12,SelfSchCut,Local,SOLR,67,253
01/21,12,SelfSchCut,Local,WIND,11,109
01/21,13,Economic,Local,SOLR,404,646
01/21,13,Economic,Local,WIND,86,113
01/21,14,Economic,Local,SOLR,189,366
01/21,14,Economic,Local,WIND,67,77
01/21,14,SelfSchCut,Local,SOLR,8,
01/21,15,Economic,Local,SOLR,23,161
01/21,15,Economic,Local,WIND,16,74
01/21,15,SelfSchCut,Local,SOLR,3,8
01/21,16,Economic,Local,SOLR,3,7
01/21,16,Economic,System,SOLR,1,2
01/21,16,SelfSchCut,Local,SOLR,2,15
