DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/25,8,Economic,Local,SOLR,53,191
01/25,9,Economic,Local,SOLR,371,529
01/25,9,Economic,Local,WIND,4,1
01/25,9,Economic,System,SOLR,47,275
01/25,9,Economic,System,WIND,0,1
01/25,10,Economic,Local,SOLR,104,14
01/25,10,Economic,Local,WIND,14,46
01/25,10,Economic,System,SOLR,108,585
01/25,10,Economic,System,WIND,0,1
01/25,10,SelfSchCut,Local,SOLR,1,
01/25,11,Economic,Local,SOLR,93,290
01/25,11,Economic,Local,WIND,48,47
01/25,11,Economic,System,SOLR,24,1
01/25,11,Economic,System,WIND,0,
01/25,11,SelfSchCut,Local,SOLR,0,
01/25,12,Economic,Local,SOLR,109,440
01/25,12,Economic,Local,WIND,15,57
01/25,12,Economic,System,SOLR,10,1
01/25,12,Economic,System,WIND,0,
01/25,13,Economic,Local,SOLR,90,157
01/25,13,Economic,Local,WIND,9,1
01/25,13,Economic,System,SOLR,134,522
01/25,13,Economic,System,WIND,0,1
01/25,14,Economic,Local,SOLR,0,
01/25,14,Economic,Local,WIND,62,94
01/25,14,Economic,System,SOLR,468,602
01/25,14,Economic,System,WIND,1,1
01/25,15,Economic,Local,SOLR,6,
01/25,15,Economic,Local,WIND,79,66
01/25,15,Economic,System,SOLR,192,355
01/25,15,Economic,System,WIND,1,1
01/25,16,Economic,Local,SOLR,108,321
01/25,16,Economic,Local,WIND,22,30
01/25,16,Economic,System,SOLR,49,264
01/25,16,Economic,System,WIND,0,0
01/25,17,Economic,System,SOLR,0,2
