DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/19,8 Economic,,System,SOLR,114,432
11/19,8 Economic,,System,WIND,0,1
11/19,9 Economic,,System,SOLR,281,528
11/19,9 Economic,,System,WIND,2,2
11/19,10 Economic,,Local,SOLR,1,
11/19,10 Economic,,Local,WIND,0,
11/19,10 Economic,,System,SOLR,36,319
11/19,10 Economic,,System,WIND,1,1
11/19,11 Economic,,Local,WIND,0,1
11/19,11 Economic,,System,SOLR,0,
11/19,12 Economic,,Local,WIND,4,27
11/19,13 Economic,,Local,WIND,13,64
11/19,13 Economic,,System,SOLR,1,1
11/19,16 Economic,,System,SOLR,0,2
