DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/27,1,Economic,Local,WIND,8,49
11/27,2,Economic,Local,WIND,22,63
11/27,3,Economic,Local,WIND,21,68
11/27,4,Economic,Local,WIND,50,50
11/27,5,Economic,Local,WIND,15,44
11/27,6,Economic,Local,WIND,35,80
11/27,7,Economic,Local,WIND,48,73
11/27,8,Economic,Local,WIND,31,
11/27,8,Economic,System,WIND,40,201
11/27,9,Economic,Local,WIND,9,63
11/27,9,Economic,System,WIND,6,77
11/27,10,Economic,Local,WIND,81,99
11/27,10,Economic,System,WIND,122,297
11/27,11,Economic,Local,WIND,127,168
11/27,11,Economic,System,WIND,1,
11/27,12,Economic,Local,WIND,113,108
11/27,12,Economic,System,WIND,23,220
11/27,13,Economic,Local,SOLR,1,2
11/27,13,Economic,Local,WIND,124,180
11/27,13,Economic,System,WIND,2,
11/27,14,Economic,Local,SOLR,1,
11/27,14,Economic,Local,WIND,90,117
11/27,14,Economic,System,SOLR,0,
11/27,15,Economic,Local,SOLR,10,15
11/27,15,Economic,Local,WIND,32,64
11/27,15,Economic,System,SOLR,0,
11/27,15,SelfSchCut,Local,SOLR,1,
11/27,16,Economic,Local,SOLR,1,6
11/27,16,Economic,Local,WIND,1,16
11/27,16,Economic,System,SOLR,1,
11/27,17,Economic,System,SOLR,0,2
11/27,19,Economic,Local,WIND,1,5
11/27,20,Economic,Local,WIND,4,25
11/27,22,Economic,Local,WIND,3,12
11/27,23,Economic,Local,WIND,7,79
