DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/20,1 Economic,,System,WIND,51,255
02/20,2 Economic,,System,WIND,23,105
02/20,3 Economic,,System,WIND,40,96
02/20,4 Economic,,System,WIND,9,39
02/20,6 Economic,,System,WIND,8,52
02/20,9 Economic,,System,SOLR,20,103
02/20,9 Economic,,System,WIND,7,17
02/20,10 Economic,,System,SOLR,45,251
02/20,10 Economic,,System,WIND,4,8
02/20,12 Economic,,System,SOLR,0,1
02/20,13 Economic,,Local,SOLR,56,
02/20,13 Economic,,Local,WIND,9,
02/20,13 Economic,,System,SOLR,46,548
02/20,13 Economic,,System,WIND,2,25
02/20,14 Economic,,Local,SOLR,550,879
02/20,14 Economic,,Local,WIND,29,24
02/20,14 SelfSchCut,,Local,SOLR,1,
02/20,15 Economic,,Local,SOLR,0,
02/20,15 Economic,,Local,WIND,0,
02/20,15 Economic,,System,SOLR,8,65
02/20,15 Economic,,System,WIND,3,23
02/20,16 Economic,,System,SOLR,8,93
02/20,16 Economic,,System,WIND,3,39
02/20,17 Economic,,System,SOLR,1,2
02/20,17 Economic,,System,WIND,5,60
02/20,18 Economic,,System,SOLR,0,1
02/20,24 Economic,,System,WIND,1,3
