DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/23,7 Economic,,Local,SOLR,0,1
02/23,8 Economic,,Local,SOLR,312,843
02/23,8 Economic,,Local,WIND,32,66
02/23,8 Economic,,System,SOLR,5,
02/23,8 Economic,,System,WIND,4,
02/23,9 Economic,,Local,SOLR,856,1140
02/23,9 Economic,,Local,WIND,175,258
02/23,9 Economic,,System,SOLR,3,13
02/23,9 Economic,,System,WIND,4,33
02/23,9 SelfSchCut,,Local,SOLR,102,575
02/23,9 SelfSchCut,,Local,WIND,40,309
02/23,10 Economic,,Local,SOLR,1184,1193
02/23,10 Economic,,Local,WIND,231,212
02/23,10 Economic,,System,SOLR,14,17
02/23,10 Economic,,System,WIND,24,17
02/23,10 SelfSchCut,,Local,SOLR,394,512
02/23,10 SelfSchCut,,Local,WIND,220,308
02/23,10 SelfSchCut,,System,SOLR,2,
02/23,10 SelfSchCut,,System,WIND,1,
02/23,11 Economic,,Local,SOLR,1166,1158
02/23,11 Economic,,Local,WIND,221,251
02/23,11 Economic,,System,SOLR,11,18
02/23,11 Economic,,System,WIND,13,26
02/23,11 SelfSchCut,,Local,SOLR,45,298
02/23,11 SelfSchCut,,Local,WIND,32,253
02/23,12 Economic,,Local,SOLR,1151,1180
02/23,12 Economic,,Local,WIND,100,210
02/23,13 Economic,,Local,SOLR,1064,1140
02/23,13 Economic,,Local,WIND,56,125
02/23,14 Economic,Local,SOLR,1059,1050
02/23,14 Economic,Local,WIND,92,262
02/23,15 Economic,Local,SOLR,888,1129
02/23,15 Economic,Local,WIND,187,211
02/23,15 Economic,System,SOLR,189,
02/23,15 Economic,System,WIND,39,
02/23,15 SelfSchCut,Local,SOLR,61,215
02/23,16 Economic,Local,SOLR,568,1112
02/23,16 Economic,Local,WIND,125,232
02/23,16 Economic,System,SOLR,297,18
02/23,16 Economic,System,WIND,69,12
02/23,16 SelfSchCut,Local,SOLR,93,270
02/23,16 SelfSchCut,Local,WIND,3,24
02/23,17 Economic,Local,SOLR,3,10
02/23,17 Economic,System,SOLR,134,706
02/23,17 Economic,System,WIND,17,49
02/23,18 Economic,Local,SOLR,0,
02/23,18 Economic,System,SOLR,0,2
