DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/08,8 Economic,,Local,SOLR,54,223
03/08,8 Economic,,Local,WIND,0,1
03/08,9 Economic,,Local,SOLR,51,
03/08,9 Economic,,Local,WIND,0,
03/08,9 Economic,,System,SOLR,170,613
03/08,9 Economic,,System,WIND,0,1
03/08,10 Economic,,Local,SOLR,225,
03/08,10 Economic,,Local,WIND,1,
03/08,10 Economic,,System,SOLR,187,1018
03/08,10 Economic,,System,WIND,0,1
03/08,11 Economic,,Local,SOLR,297,363
03/08,11 Economic,,Local,WIND,3,5
03/08,11 Economic,,System,SOLR,10,116
03/08,12 Economic,,Local,SOLR,167,394
03/08,12 Economic,,Local,WIND,0,0
03/08,12 Economic,,System,SOLR,5,
03/08,12 Economic,,System,WIND,2,
03/08,13 Economic,,Local,SOLR,269,328
03/08,13 Economic,,Local,WIND,0,
03/08,14 Economic,,Local,SOLR,264,565
03/08,14 Economic,,Local,WIND,4,5
03/08,14 Economic,,System,SOLR,51,
03/08,14 Economic,,System,WIND,1,
03/08,15 Economic,,Local,SOLR,192,292
03/08,15 Economic,,Local,WIND,1,4
03/08,15 Economic,,System,SOLR,3,14
03/08,16 Economic,,Local,SOLR,132,177
03/08,16 Economic,,Local,WIND,1,3
03/08,16 Economic,,System,SOLR,1,14
03/08,17 Economic,Local,SOLR,43,238
03/08,17 Economic,Local,WIND,1,2
03/08,17 Economic,System,SOLR,45,258
03/08,17 Economic,System,WIND,0,0
03/08,18 Economic,Local,WIND,0,1
