DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/11,7 Economic,,Local,SOLR,0,2
03/11,8 Economic,,Local,SOLR,2,
03/11,8 Economic,,System,SOLR,132,454
03/11,8 Economic,,System,WIND,2,3
03/11,9 Economic,,Local,SOLR,23,
03/11,9 Economic,,Local,WIND,1,
03/11,9 Economic,,System,SOLR,454,942
03/11,9 Economic,,System,WIND,2,3
03/11,10 Economic,,Local,SOLR,153,129
03/11,10 Economic,,Local,WIND,1,1
03/11,10 Economic,,System,SOLR,549,818
03/11,10 Economic,,System,WIND,0,0
03/11,11 Economic,,Local,SOLR,151,103
03/11,11 Economic,,Local,WIND,2,1
03/11,11 Economic,,System,SOLR,91,295
03/11,11 Economic,,System,WIND,0,0
03/11,12 Economic,,Local,SOLR,101,103
03/11,12 Economic,,Local,WIND,5,4
03/11,12 Economic,,System,SOLR,116,341
03/11,12 Economic,,System,WIND,0,0
03/11,13 Economic,,Local,SOLR,96,110
03/11,13 Economic,,Local,WIND,3,4
03/11,13 Economic,,System,SOLR,73,405
03/11,13 Economic,,System,WIND,0,0
03/11,14 Economic,,Local,SOLR,74,63
03/11,14 Economic,,Local,WIND,2,0
03/11,14 Economic,,System,SOLR,209,435
03/11,14 Economic,,System,WIND,0,0
03/11,15 Economic,,Local,SOLR,71,102
03/11,15 Economic,Local,WIND,0,0
03/11,15 Economic,System,SOLR,90,464
03/11,15 Economic,System,WIND,0,0
03/11,16 Economic,Local,SOLR,2,
03/11,16 Economic,System,SOLR,320,1302
03/11,16 Economic,System,WIND,22,88
03/11,16 SelfSchCut,System,SOLR,424,1785
03/11,16 SelfSchCut,System,WIND,74,284
03/11,17 Economic,Local,SOLR,6,
03/11,17 Economic,System,SOLR,83,365
03/11,17 Economic,System,WIND,7,19
03/11,18 Economic,Local,SOLR,0,4
03/11,24 Economic,System,WIND,0,1
