DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/25,8 Economic,,Local,SOLR,0,
03/25,8 Economic,,System,SOLR,1,3
03/25,9 Economic,,Local,SOLR,0,
03/25,9 Economic,,System,SOLR,40,194
03/25,9 Economic,,System,WIND,41,83
03/25,10 Economic,,Local,SOLR,1,
03/25,10 Economic,,System,SOLR,3,8
03/25,10 Economic,,System,WIND,12,75
03/25,11 Economic,,Local,SOLR,1,
03/25,11 Economic,,System,SOLR,152,418
03/25,11 Economic,,System,WIND,46,77
03/25,12 Economic,,Local,SOLR,9,
03/25,12 Economic,,System,SOLR,663,1011
03/25,12 Economic,,System,WIND,71,66
03/25,12 SelfSchCut,,Local,SOLR,0,
03/25,13 Economic,,Local,SOLR,223,15
03/25,13 Economic,,Local,WIND,40,
03/25,13 Economic,,System,SOLR,321,803
03/25,13 Economic,,System,WIND,39,76
03/25,14 Economic,,Local,SOLR,10,11
03/25,14 Economic,,System,SOLR,754,1046
03/25,14 Economic,,System,WIND,81,84
03/25,15 Economic,,Local,SOLR,2,
03/25,15 Economic,,System,SOLR,1169,1272
03/25,15 Economic,,System,WIND,139,339
03/25,16 Economic,,Local,SOLR,108,
03/25,16 Economic,,Local,WIND,7,
03/25,16 Economic,,System,SOLR,760,1321
03/25,16 Economic,,System,WIND,72,79
03/25,17 Economic,Local,SOLR,95,
03/25,17 Economic,Local,WIND,16,
03/25,17 Economic,System,SOLR,1150,1322
03/25,17 Economic,System,WIND,204,402
03/25,18 Economic,Local,SOLR,81,
03/25,18 Economic,Local,WIND,34,
03/25,18 Economic,System,SOLR,686,1015
03/25,18 Economic,System,WIND,209,432
03/25,18 SelfSchCut,System,SOLR,11,127
03/25,18 SelfSchCut,System,WIND,1,10
03/25,19 Economic,System,SOLR,92,358
03/25,19 Economic,System,WIND,29,86
03/25,24 Economic,System,WIND,11,63
