DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/26,5 Economic,,System,WIND,0,3
03/26,8 Economic,,Local,SOLR,0,
03/26,8 Economic,,System,SOLR,116,488
03/26,8 Economic,,System,WIND,19,50
03/26,9 Economic,,Local,SOLR,10,
03/26,9 Economic,,Local,WIND,4,
03/26,9 Economic,,System,SOLR,193,756
03/26,9 Economic,,System,WIND,26,53
03/26,10 Economic,,Local,SOLR,90,
03/26,10 Economic,,Local,WIND,10,
03/26,10 Economic,,System,SOLR,236,585
03/26,10 Economic,,System,WIND,34,51
03/26,10 SelfSchCut,,Local,SOLR,2,
03/26,11 Economic,,Local,SOLR,461,801
03/26,11 Economic,,Local,WIND,25,31
03/26,11 Economic,,System,SOLR,60,83
03/26,11 Economic,,System,WIND,7,
03/26,11 SelfSchCut,,Local,SOLR,0,
03/26,12 Economic,,Local,SOLR,797,990
03/26,12 Economic,,Local,WIND,48,55
03/26,12 Economic,,System,SOLR,7,53
03/26,13 Economic,,Local,SOLR,256,
03/26,13 Economic,,Local,WIND,37,
03/26,13 Economic,,System,SOLR,354,973
03/26,13 Economic,,System,WIND,26,56
03/26,14 Economic,,Local,SOLR,290,1153
03/26,14 Economic,,Local,WIND,39,242
03/26,14 Economic,,System,SOLR,914,127
03/26,14 Economic,,System,WIND,46,8
03/26,15 Economic,Local,SOLR,1120,1128
03/26,15 Economic,Local,WIND,178,189
03/26,15 Economic,System,SOLR,62,115
03/26,15 Economic,System,WIND,8,9
03/26,15 SelfSchCut,Local,SOLR,111,128
03/26,15 SelfSchCut,Local,WIND,31,180
03/26,16 Economic,Local,SOLR,979,1129
03/26,16 Economic,Local,WIND,136,152
03/26,16 Economic,System,SOLR,88,234
03/26,16 Economic,System,WIND,1,5
03/26,16 SelfSchCut,Local,SOLR,0,
03/26,17 Economic,Local,SOLR,315,756
03/26,17 Economic,Local,WIND,53,78
03/26,17 Economic,System,SOLR,0,
03/26,18 Economic,Local,SOLR,1,
03/26,18 Economic,System,SOLR,1,6
03/26,18 Economic,System,WIND,12,81
03/26,23 Economic,System,WIND,2,23
03/26,24 Economic,System,WIND,128,391
