TYPE,YTD CURTAILED MWH
LocalEconomic,"78,244"
LocalExDispatch,963
LocalSelfSchCut,"3,423"
SystemEconomic,"189,690"
SystemExDispatch,278
SystemSelfSchCut,820
TOTAL,"273,417"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/18,1 Economic,,System,WIND,19,192
05/18,7 Economic,,System,SOLR,0,4
05/18,8 Economic,,Local,SOLR,3,
05/18,8 Economic,,System,SOLR,33,196
05/18,8 ExDispatch,,Local,SOLR,0,
05/18,8 ExDispatch,,System,SOLR,0,0
05/18,9 Economic,,Local,SOLR,13,0
05/18,9 Economic,,System,SOLR,35,66
05/18,9 ExDispatch,,Local,SOLR,0,0
05/18,10 Economic,,Local,SOLR,28,11
05/18,10 Economic,,System,SOLR,12,57
05/18,10 ExDispatch,,Local,SOLR,1,1
05/18,10 SelfSchCut,,Local,SOLR,0,
05/18,11 Economic,,Local,SOLR,19,25
05/18,11 ExDispatch,,Local,SOLR,2,1
05/18,11 SelfSchCut,,Local,SOLR,1,4
05/18,11 SelfSchCut,,Local,WIND,0,
05/18,12 Economic,,Local,SOLR,28,34
05/18,12 Economic,,System,SOLR,1,3
05/18,12 ExDispatch,,Local,SOLR,5,5
05/18,13 Economic,,Local,SOLR,20,25
05/18,13 Economic,,System,SOLR,7,10
05/18,13 ExDispatch,,Local,SOLR,6,6
05/18,13 SelfSchCut,,Local,SOLR,0,
05/18,13 SelfSchCut,,Local,WIND,1,
05/18,14 Economic,,Local,SOLR,22,23
05/18,14 Economic,,System,SOLR,4,44
05/18,14 ExDispatch,,Local,SOLR,5,5
05/18,15 Economic,,Local,SOLR,12,7
05/18,15 Economic,,System,SOLR,9,61
05/18,15 ExDispatch,,Local,SOLR,2,0
05/18,16 Economic,Local,SOLR,16,7
05/18,16 Economic,System,SOLR,4,49
05/18,16 ExDispatch,Local,SOLR,0,0
05/18,16 ExDispatch,System,SOLR,0,
05/18,17 Economic,Local,SOLR,3,25
05/18,17 ExDispatch,Local,SOLR,0,1
05/18,17 ExDispatch,System,SOLR,0,
05/18,18 Economic,System,SOLR,2,21
05/18,18 ExDispatch,Local,SOLR,0,
05/18,18 ExDispatch,System,SOLR,0,0
