DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/01,8 Economic,,System,SOLR,270,688
04/01,8 Economic,,System,WIND,10,92
04/01,9 Economic,,Local,SOLR,53,
04/01,9 Economic,,Local,WIND,0,
04/01,9 Economic,,System,SOLR,660,1402
04/01,9 Economic,,System,WIND,6,2
04/01,10 Economic,,Local,SOLR,106,
04/01,10 Economic,,System,SOLR,1161,1463
04/01,10 Economic,,System,WIND,1,0
04/01,11 Economic,,Local,SOLR,151,4
04/01,11 Economic,,Local,WIND,0,
04/01,11 Economic,,System,SOLR,1349,1771
04/01,11 Economic,,System,WIND,2,3
04/01,12 Economic,,Local,SOLR,10,11
04/01,12 Economic,,System,SOLR,1473,1533
04/01,12 Economic,,System,WIND,2,0
04/01,13 Economic,,Local,SOLR,11,11
04/01,13 Economic,,System,SOLR,1283,1361
04/01,13 Economic,,System,WIND,1,0
04/01,14 Economic,,Local,SOLR,38,11
04/01,14 Economic,,System,SOLR,574,1200
04/01,14 Economic,,System,WIND,0,0
04/01,15 Economic,,Local,SOLR,74,11
04/01,15 Economic,,Local,WIND,0,
04/01,15 Economic,,System,SOLR,646,1142
04/01,15 Economic,,System,WIND,0,0
04/01,16 Economic,,Local,SOLR,84,7
04/01,16 Economic,,Local,WIND,0,
04/01,16 Economic,,System,SOLR,469,1166
04/01,16 Economic,System,WIND,0,0
04/01,17 Economic,Local,SOLR,35,
04/01,17 Economic,System,SOLR,486,1077
04/01,17 Economic,System,WIND,0,0
04/01,18 Economic,System,SOLR,161,649
04/01,18 Economic,System,WIND,0,0
04/01,19 Economic,System,SOLR,1,6
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/02,8 Economic,,Local,SOLR,0,
04/02,8 Economic,,System,SOLR,320,636
04/02,8 Economic,,System,WIND,56,105
04/02,9 Economic,,Local,SOLR,45,
04/02,9 Economic,,Local,WIND,0,
04/02,9 Economic,,System,SOLR,951,1484
04/02,9 Economic,,System,WIND,10,29
04/02,10 Economic,,Local,SOLR,2,2
04/02,10 Economic,,System,SOLR,902,1090
04/02,10 Economic,,System,WIND,1,2
04/02,11 Economic,,Local,SOLR,4,4
04/02,11 Economic,,System,SOLR,1093,1403
04/02,11 Economic,,System,WIND,0,0
04/02,12 Economic,,Local,SOLR,111,7
04/02,12 Economic,,Local,WIND,0,
04/02,12 Economic,,System,SOLR,1170,1382
04/02,12 Economic,,System,WIND,0,0
04/02,13 Economic,,Local,SOLR,137,29
04/02,13 Economic,,Local,WIND,0,
04/02,13 Economic,,System,SOLR,1245,1494
04/02,13 Economic,,System,WIND,0,0
04/02,13 SelfSchCut,,Local,SOLR,2,3
04/02,14 Economic,,Local,SOLR,651,1541
04/02,14 Economic,,Local,WIND,5,13
04/02,14 Economic,,System,SOLR,867,
04/02,14 Economic,,System,WIND,4,
04/02,14 SelfSchCut,,Local,SOLR,3,3
04/02,15 Economic,,Local,SOLR,24,20
04/02,15 Economic,,System,SOLR,1421,1566
04/02,15 Economic,System,WIND,10,25
04/02,15 SelfSchCut,Local,SOLR,4,4
04/02,16 Economic,Local,SOLR,353,20
04/02,16 Economic,Local,WIND,1,
04/02,16 Economic,System,SOLR,1168,1658
04/02,16 Economic,System,WIND,7,8
04/02,16 SelfSchCut,Local,SOLR,4,4
04/02,17 Economic,Local,SOLR,118,18
04/02,17 Economic,Local,WIND,0,
04/02,17 Economic,System,SOLR,1176,1656
04/02,17 Economic,System,WIND,23,147
04/02,17 SelfSchCut,Local,SOLR,2,4
04/02,18 Economic,Local,SOLR,74,790
04/02,18 Economic,Local,WIND,0,1
04/02,18 Economic,System,SOLR,136,
04/02,18 Economic,System,WIND,0,
04/02,18 SelfSchCut,Local,SOLR,5,14
04/02,19 Economic,Local,SOLR,1,6
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/03,9 Economic,,Local,SOLR,19,
04/03,9 Economic,,System,SOLR,27,152
04/03,9 SelfSchCut,,Local,SOLR,1,
04/03,10 Economic,,Local,SOLR,53,
04/03,10 Economic,,System,SOLR,485,1039
04/03,10 Economic,,System,WIND,3,9
04/03,11 Economic,,Local,SOLR,112,
04/03,11 Economic,,Local,WIND,1,
04/03,11 Economic,,System,SOLR,423,819
04/03,11 Economic,,System,WIND,5,6
04/03,11 SelfSchCut,,Local,SOLR,1,
04/03,12 Economic,,Local,SOLR,138,0
04/03,12 Economic,,System,SOLR,328,804
04/03,12 Economic,,System,WIND,2,9
04/03,12 SelfSchCut,,Local,SOLR,0,
04/03,13 Economic,,Local,SOLR,104,0
04/03,13 Economic,,System,SOLR,504,1079
04/03,13 Economic,,System,WIND,2,3
04/03,14 Economic,,Local,SOLR,82,5
04/03,14 Economic,,System,SOLR,134,404
04/03,15 Economic,,Local,SOLR,140,264
04/03,15 Economic,,System,SOLR,20,
04/03,16 Economic,,Local,SOLR,91,18
04/03,16 Economic,,System,SOLR,88,291
04/03,16 SelfSchCut,,Local,SOLR,11,26
04/03,17 Economic,,Local,SOLR,138,337
04/03,17 Economic,,System,SOLR,20,
04/03,17 SelfSchCut,,Local,SOLR,19,26
04/03,18 Economic,,Local,SOLR,10,55
04/03,18 Economic,,System,SOLR,0,
04/03,18 SelfSchCut,,Local,SOLR,2,9
04/03,19 Economic,,System,SOLR,0,5
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/04,1 Economic,,System,WIND,6,73
04/04,3 Economic,,System,WIND,3,39
04/04,5 Economic,,System,WIND,4,26
04/04,9 Economic,,Local,SOLR,0,
04/04,9 Economic,,System,SOLR,92,251
04/04,9 Economic,,System,WIND,1,4
04/04,10 Economic,,Local,SOLR,2,
04/04,10 Economic,,System,SOLR,1,11
04/04,11 Economic,,Local,SOLR,7,13
04/04,12 Economic,,Local,SOLR,20,25
04/04,12 Economic,,System,SOLR,1,15
04/04,13 Economic,,Local,SOLR,38,72
04/04,13 Economic,,System,SOLR,6,
04/04,13 SelfSchCut,,Local,SOLR,0,
04/04,14 Economic,,Local,SOLR,30,34
04/04,14 SelfSchCut,,Local,SOLR,0,
04/04,15 Economic,,Local,SOLR,9,27
04/04,16 Economic,,Local,SOLR,3,9
04/04,16 Economic,,System,SOLR,0,
04/04,17 Economic,,Local,SOLR,0,
04/04,17 Economic,,System,SOLR,0,5
04/04,18 Economic,,Local,SOLR,1,11
04/04,18 Economic,,System,SOLR,1,
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/05,8 Economic,,Local,SOLR,61,234
04/05,9 Economic,,Local,SOLR,69,193
04/05,10 Economic,,Local,SOLR,38,104
04/05,10 Economic,,System,SOLR,0,
04/05,11 Economic,,Local,SOLR,29,131
04/05,12 Economic,,Local,SOLR,19,34
04/05,12 SelfSchCut,,Local,SOLR,1,5
04/05,13 Economic,,Local,SOLR,23,37
04/05,13 SelfSchCut,,Local,SOLR,1,11
04/05,14 Economic,,Local,SOLR,15,19
04/05,14 SelfSchCut,,Local,SOLR,5,10
04/05,15 Economic,,Local,SOLR,17,17
04/05,15 SelfSchCut,,Local,SOLR,2,9
04/05,16 Economic,,Local,SOLR,12,14
04/05,16 SelfSchCut,,Local,SOLR,1,3
04/05,17 Economic,,Local,SOLR,3,6
04/05,17 Economic,,System,SOLR,0,
04/05,18 Economic,,Local,SOLR,1,3
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/06,7 Economic,,System,SOLR,0,0
04/06,7 Economic,,System,WIND,2,26
04/06,7 SelfSchCut,,System,WIND,1,12
04/06,11 Economic,,Local,SOLR,1,12
04/06,14 Economic,,Local,SOLR,52,240
04/06,16 Economic,,System,SOLR,0,2
04/06,17 Economic,,Local,SOLR,0,5
04/06,17 Economic,,System,SOLR,0,
04/06,22 Economic,,Local,WIND,130,202
04/06,22 Economic,,System,WIND,2,
04/06,22 SelfSchCut,,Local,WIND,69,289
04/06,23 Economic,,Local,WIND,91,152
04/06,24 Economic,,Local,WIND,42,131
04/06,24 SelfSchCut,,Local,WIND,1,
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/07,1 Economic,,Local,WIND,1,7
04/07,12 Economic,,Local,SOLR,1,18
04/07,12 Economic,,System,SOLR,1,6
04/07,15 Economic,,Local,SOLR,1,
04/07,15 Economic,,System,SOLR,28,157
04/07,20 Economic,,Local,WIND,5,26
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/08,9 Economic,,Local,SOLR,0,3
04/08,10 Economic,,Local,SOLR,18,
04/08,10 Economic,,System,SOLR,31,273
04/08,10 Economic,,System,WIND,2,21
04/08,11 Economic,,Local,SOLR,8,13
04/08,11 Economic,,System,SOLR,485,1289
04/08,11 Economic,,System,WIND,5,13
04/08,12 Economic,,Local,SOLR,266,12
04/08,12 Economic,,Local,WIND,1,
04/08,12 Economic,,System,SOLR,1358,1719
04/08,12 Economic,,System,WIND,54,271
04/08,12 SelfSchCut,,Local,SOLR,11,
04/08,13 Economic,,Local,SOLR,146,
04/08,13 Economic,,Local,WIND,3,
04/08,13 Economic,,System,SOLR,1548,1680
04/08,13 Economic,,System,WIND,215,414
04/08,14 Economic,,Local,SOLR,256,
04/08,14 Economic,,Local,WIND,11,
04/08,14 Economic,,System,SOLR,1263,1617
04/08,14 Economic,,System,WIND,104,368
04/08,15 Economic,,System,SOLR,1463,1500
04/08,15 Economic,,System,WIND,51,178
04/08,16 Economic,,Local,SOLR,490,
04/08,16 Economic,,Local,WIND,31,
04/08,16 Economic,,System,SOLR,954,1496
04/08,16 Economic,,System,WIND,66,268
04/08,17 Economic,,System,SOLR,1035,1456
04/08,17 Economic,,System,WIND,40,201
04/08,18 Economic,,System,SOLR,401,1270
04/08,18 Economic,,System,WIND,15,90
04/08,19 Economic,,Local,SOLR,0,
04/08,19 Economic,,System,SOLR,0,2
TYPE,YTD CURTAILED MWH
LocalEconomic,"65,971"
LocalExDispatch,272
LocalSelfSchCut,"2,853"
SystemEconomic,"163,383"
SystemExDispatch,74
SystemSelfSchCut,550
TOTAL,"233,104"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/09,9 Economic,,Local,SOLR,2,12
04/09,10 Economic,,System,SOLR,5,31
04/09,11 Economic,,Local,SOLR,84,12
04/09,11 Economic,,System,SOLR,46,247
04/09,11 SelfSchCut,,Local,SOLR,7,23
04/09,12 Economic,,Local,SOLR,62,17
04/09,12 Economic,,System,SOLR,316,695
04/09,12 Economic,,System,WIND,0,0
04/09,12 SelfSchCut,,Local,SOLR,1,1
04/09,13 Economic,,Local,SOLR,111,27
04/09,13 Economic,,System,SOLR,169,504
04/09,14 Economic,,Local,SOLR,48,30
04/09,14 Economic,,System,SOLR,375,672
04/09,15 Economic,,Local,SOLR,75,27
04/09,15 Economic,,System,SOLR,430,844
04/09,15 Economic,,System,WIND,0,
04/09,16 Economic,,Local,SOLR,62,19
04/09,16 Economic,,System,SOLR,323,884
04/09,16 Economic,,System,WIND,0,0
04/09,17 Economic,,Local,SOLR,53,247
04/09,17 Economic,,System,SOLR,59,
04/09,18 Economic,,Local,SOLR,2,9
04/09,19 Economic,,System,SOLR,1,5
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/10,8 Economic,,Local,SOLR,1,6
04/10,9 Economic,,Local,SOLR,7,11
04/10,9 Economic,,System,SOLR,3,14
04/10,10 Economic,,Local,SOLR,7,8
04/10,10 Economic,,System,SOLR,8,15
