TYPE,YTD CURTAILED MWH
LocalEconomic,"90,297"
LocalExDispatch,"1,350"
LocalSelfSchCut,"3,697"
SystemEconomic,"208,927"
SystemExDispatch,474
SystemSelfSchCut,828
TOTAL,"305,573"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW,
"",R,,,,,,
07/06,7 Economic,,Local,SOLR,1,,7
07/06,8 Economic,,System,SOLR,0,,0
07/06,8 ExDispatch,,Local,SOLR,0,,
07/06,8 ExDispatch,,System,SOLR,0,,2
07/06,9 Economic,,Local,SOLR,0,,
07/06,9 ExDispatch,,Local,SOLR,1,,3
07/06,9 ExDispatch,,System,SOLR,0,,
07/06,10 Economic,,Local,SOLR,0,,1
07/06,10 Economic,,System,SOLR,0,,
07/06,10 ExDispatch,,Local,SOLR,1,,3
07/06,10 ExDispatch,,System,SOLR,2,,
07/06,11 Economic,,Local,SOLR,2,,1
07/06,11 ExDispatch,,Local,SOLR,0,,
07/06,11 ExDispatch,,System,SOLR,1,,5
07/06,12 Economic,,Local,SOLR,2,,4
07/06,12 ExDispatch,,Local,SOLR,0,,
07/06,12 ExDispatch,,System,SOLR,0,,0
07/06,13 Economic,,Local,SOLR,2,,3
07/06,14 Economic,,Local,SOLR,2,,3
07/06,15 Economic,,Local,SOLR,0,,1
07/06,16 Economic,,Local,SOLR,0,,1
07/06,16 Economic,,System,SOLR,1,,4
07/06,18 Economic,,Local,SOLR,0,,5
