TYPE,YTD CURTAILED MWH
LocalEconomic,"88,275"
LocalExDispatch,"1,309"
LocalSelfSchCut,"3,677"
SystemEconomic,"208,556"
SystemExDispatch,434
SystemSelfSchCut,828
TOTAL,"303,079"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
06/23,10 Economic,,Local,SOLR,1,13
06/23,11 ExDispatch,,Local,SOLR,0,
06/23,11 ExDispatch,,System,SOLR,1,2
06/23,12 Economic,,Local,SOLR,0,2
06/23,12 ExDispatch,,Local,SOLR,1,3
06/23,12 ExDispatch,,System,SOLR,0,
06/23,13 ExDispatch,,Local,SOLR,0,1
06/23,13 ExDispatch,,System,SOLR,0,
06/23,14 Economic,,Local,SOLR,133,222
06/23,14 ExDispatch,,Local,SOLR,0,0
06/23,14 ExDispatch,,System,SOLR,0,
06/23,15 ExDispatch,,Local,SOLR,0,0
06/23,15 ExDispatch,,System,SOLR,0,
