TYPE,YTD CURTAILED MWH
LocalEconomic,"90,220"
LocalExDispatch,"1,332"
LocalSelfSchCut,"3,697"
SystemEconomic,"208,901"
SystemExDispatch,444
SystemSelfSchCut,828
TOTAL,"305,422"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW,
"",R,,,,,,
06/30,11 ExDispatch,,Local,SOLR,2,,3
06/30,11 ExDispatch,,System,SOLR,0,,
06/30,12 ExDispatch,,Local,SOLR,1,,5
06/30,12 ExDispatch,,System,SOLR,2,,
06/30,13 Economic,,Local,SOLR,0,,5
06/30,14 ExDispatch,,Local,SOLR,0,,0
06/30,15 ExDispatch,,Local,SOLR,0,,
06/30,15 ExDispatch,,System,SOLR,1,,3
06/30,18 Economic,,Local,SOLR,1,,6
06/30,20 Economic,,System,SOLR,0,,2
06/30,21 Economic,,System,SOLR,0,,3
06/30,22 Economic,,System,WIND,0,,2
