04/24/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1047		294		176		287		1150		0
	2		1050		286		175		274		1161		0
	3		1051		287		175		273		1188		0
	4		1051		295		176		265		1113		0
	5		1050		296		176		275		987		0
	6		1051		302		177		269		872		0
	7		1052		303		177		263		786		0
	8		1052		303		177		276		556		11
	9		1053		303		178		301		353		220
	10		1054		299		179		305		190		327
	11		1053		299		179		305		86		347
	12		1051		299		180		306		25		348
	13		1048		300		181		300		38		346
	14		1046		300		180		305		129		346
	15		1044		300		180		305		271		349
	16		1042		300		180		306		534		346
	17		1044		300		180		288		751		329
	18		1049		303		180		288		869		276
	19		1048		301		179		290		909		126
	20		1050		300		179		295		949		0
	21		1053		298		179		303		1036		0
	22		1054		296		179		308		1076		0
	23		1055		291		178		308		1055		0
	24		1055		291		178		292		979		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2954		3996		5996		5879		2232		
	2		2946		4033		5767		5503		1965		
	3		2975		4072		5673		5303		1819		
	4		2900		4084		5480		5257		1909		
	5		2784		4086		5505		5191		2127		
	6		2670		4085		5490		5437		2327		
	7		2581		4084		5548		5449		2419		
	8		2374		4083		5880		5969		2573		
	9		2408		4083		6070		6266		2893		
	10		2354		4082		6434		6676		2971		
	11		2269		4083		6908		6774		3107		
	12		2209		4081		6945		6899		3112		
	13		2213		4079		6854		6847		3123		
	14		2306		4078		6334		6784		3179		
	15		2448		4079		6085		6749		3127		
	16		2709		4081		5905		6801		2980		
	17		2892		4071		5801		6955		2686		
	18		2964		4073		5734		6932		2835		
	19		2853		4080		5852		6686		3201		
	20		2773		4082		6218		6831		3659		
	21		2869		4082		6914		7242		3819		
	22		2913		4083		6351		7282		3704		
	23		2887		4083		6306		6217		3578		
	24		2795		4083		6172		5832		2790		
